CO,NO2,Ozone,SO2
1.01,39.76,36.22,9.2
1.1,36.79,24.99,9.08
1.09,41.47,24.07,8.73
1.16,30.9,25.47,9.9
0.54,26.61,23.95,6.44
0.71,35.46,26.26,7.82
1.17,51.24,67.45,9.65
1.43,48.07,50.82,11.47
1.32,44.09,20.37,10.91
0.7,26.98,14.81,8.05
0.7,28.4,12.5,8.95
0.77,40.62,10.07,8.94
0.82,39.76,10.13,8.89
0.75,19.21,17.9,4.57
1.7,44.53,14.21,8.46
0.69,24.18,15.54,5.84
0.86,44.32,15.18,7.32
1.05,45.15,17.12,7.84
0.99,45.1,9.91,8.72
0.85,41.32,12.41,6.88
0.96,37.55,11.36,9.16
0.8,36.35,15.56,9.43
0.86,34.02,10.64,8.59
0.6,27.14,13.7,8.98
0.6,30.5,10.62,8.83
0.59,31.59,12.25,14.44
0.8,36.32,12.71,16.67
1.02,38.55,20.47,16.82
0.81,34.69,17.11,16.82
0.85,34.4,19.68,15.6
1.03,38.29,18.84,13.1
1.24,44.37,22.91,18.04
0.84,46.08,21.55,15.66
1.99,50.83,39.35,17.17
1.25,63.72,32.79,17.34
1.51,66.46,34.05,17.04
1.47,66.82,36,16.37
1.39,62.7,32.62,16.77
2.48,80.22,49.22,15.24
2.98,83.55,21.22,15.29
1.42,39.22,19.99,12.06
1.43,42.21,33.78,14.74
1.99,63.88,46,12.75
2.04,56.3,36.98,15.33
2.54,61.49,37.32,15.06
2.22,53.44,32.31,18.04
1.72,79.04,95.5,7.81
2.32,76.79,44.05,18.06
1.73,54.2,45.29,15.53
2.81,79.83,33.86,19
2.44,58.86,26.48,19.03
3.19,65.87,26.23,18.22
2.55,88.91,28.56,15.35
1.87,77.93,9.85,13.34
2.56,83.32,21.32,16.84
2.14,81.69,28.84,15.35
3.36,81.34,40.41,16.64
3.56,88.06,82.67,16.2
2.65,90.19,54.87,13.26
2.24,88.19,72.28,14
2.7,76.45,56.21,19.71
2.99,82.44,44.82,15.7
2.84,76.48,46.51,20.69
3.58,97.42,78.14,19.47
3.03,89.75,69.31,21.07
3.47,83.23,62.59,29.26
3.75,95.79,64.28,28.77
3.65,92.9,57.48,25.56
3.5,78.02,46.22,24.26
3.09,69.02,46.44,25.06
2.6,68.2,43.58,27.59
3.08,76.93,68.97,23.12
1.83,83.32,55.02,22.05
3.4,70.5,42.31,31.24
3.67,91.51,51.37,32.24
4.73,109.57,71.69,31.23
3.88,93.99,67.62,20
4.5,143.37,50.7,34.93
4.4,113.41,47.86,30.09
3.74,112.11,58.29,75.49
4,112.84,49.49,35.46
4.74,144.55,40.95,30.91
4.55,123.01,51.67,30.17
4.67,126.06,36.86,25.4
5.75,117.16,47.01,28.99
2.65,84.36,54.13,24.6
2.75,103.79,60.05,30.7
3.51,120.34,60.45,33.87
4.9,126.68,65.17,37.67
4.83,106.97,59.12,25.59
3.57,102.64,58.42,32.67
6.91,125.72,45.9,40.35
3.82,128.26,36.76,22.56
3.34,122.15,43.15,34.42
2.33,115.73,37.52,34.52
2.09,114.74,35.6,31.85
2.85,127.23,40.2,36.37
4.26,121.38,42.27,31.73
5.21,106.94,39.4,31.08
4.1,115,29.21,43.03
4.1,96.94,32,32.1
4.1,121.34,32.53,35.61
1.69,84.68,41.86,33.51
1.09,69.73,45.19,38.35
1.39,82.32,39.79,35.43
1.33,78.19,38.86,45.66
3.63,130.93,37.32,38.77
5.23,112.54,11.39,28.12
3.84,69.98,16.31,24.56
3.01,90.65,15.57,28.48
2.25,105.8,12.29,32.34
3.76,103.91,2.2,28.73
3.24,103.63,16.49,33.93
3.98,143.26,12.6,39.6
3.19,104.67,22.39,29.62
3.28,92.7,15.4,28.65
4.27,78.59,25.24,33.08
3.14,95.8,15.81,27.8
2.35,74.93,27.91,29.52
3.71,84.46,24.93,30.45
4,89.46,21.89,29.52
3.12,74.43,22.91,25.28
2,79.5,29.03,26.45
3.48,90.07,29.94,38.84
3.81,97.28,30.34,32.2
3.16,84.59,38.72,30.2
3.29,91.92,20.69,33.46
1.51,75.14,16.18,38.16
1.46,61.45,25.12,33.79
2.08,76.48,18.17,38.06
5.41,102.1,25.75,30.5
2.52,72.38,24.14,24.93
4.13,54.22,31.56,25.75
2.95,61.34,32.16,23.86
3.67,62.67,28.26,24.87
1.77,40.76,13.86,23.16
1.53,46.04,27.28,23.31
2.03,63.92,23.99,25.9
1.66,57.13,35.64,25.56
1.75,66.96,35.4,26.64
2.71,74.87,42.16,28.18
2.72,82.72,41.52,34.79
6.56,111.27,21.63,32.61
1.19,52.77,93.37,25.9
2.21,69.9,25.6,29.51
1.19,44.07,29.57,25.28
2.06,81.06,20.63,27.64
1.74,73.98,35.15,25.03
1.36,60.84,40.3,24.61
1.3,61.05,62.58,25.29
2.82,92.48,33,27.08
4.96,86.33,26.3,28.51
1.66,64.54,17.66,27.01
0.99,38.36,27.84,23.58
1.28,44.75,24.37,24.86
1.82,56.44,58.11,24.63
2.88,70.83,29.69,27.44
1.76,67.31,27.65,25.14
3.84,78.69,33.35,28.27
3.46,79.73,27.13,25.78
3.71,70.18,25.63,25.01
1.41,44.93,30.37,25.37
2.68,51.64,29.32,25.57
1.24,57.53,33.26,24.23
1.58,64.66,36.27,24.39
2.43,78.43,35.62,33.51
1.53,83.98,36.74,26.56
2.09,65.55,41.91,28.39
1.34,51.19,118.29,25.69
2.32,73.71,46.79,24.71
1.85,97.44,46.67,25.27
1.68,91.03,50.93,29
1.76,92.21,46.22,29.56
1.41,76.32,73.01,28.74
1.53,75.41,55.6,25.24
2.05,84.56,36.24,25.6
2.2,54.3,72,20
1.95,57.28,61.14,26.94
2.14,64.95,70.2,25.42
1.53,80.48,20.46,28.96
0.96,24.12,181.59,24.3
1.55,65.58,92.53,29.7
3.77,97.32,24.28,32.36
3.49,91.04,51.69,30.53
2.55,81.27,12.47,31.3
1.27,55.29,62.89,28.14
1.43,52.44,71.91,28.08
1.4,53.18,79.9,31.76
1.37,42.52,88.78,34.73
1.87,58.94,72.34,35.9
1.79,58.85,53.57,32.99
1.25,45.47,19.81,29.57
1,27.93,157.6,27.5
1.22,28.31,71.11,27.1
1.28,29.9,89.48,26.26
1.54,34.1,80.71,26.33
1.92,44.73,63.85,26.74
2.13,38.59,43.57,30.34
1.44,31.17,44.7,30.99
1.74,39.44,77.33,28.09
2.3,50.17,73.88,27.56
1.96,50.19,75.67,30.48
1.58,46.46,84.94,33.81
3.11,56.87,22.27,32.39
1.29,21.1,38.24,44.88
3.12,30.46,46.67,45.23
3.79,37.83,64.51,42.53
3.84,43.03,58.66,40.7
2.42,43.9,84.11,57.32
2.54,38.9,83.24,39.5
1.58,45.52,68.44,44.08
1.78,31.17,18.64,44.6
3.11,44.71,23.07,45.2
2.58,33.99,66.27,43.29
0.74,25.6,139.85,33.12
1.17,29.69,98.22,43.57
1.16,27.14,93.87,31.86
1.17,29.78,81.76,34.34
1.07,26.42,80.81,33.43
1.25,33.19,94.2,42.07
1.73,32.64,67.29,47.92
1.1,32.76,79.53,51.42
2.84,51.99,99.99,40.8
2.97,60.66,43.19,59.09
1.09,28.37,85.15,34.5
1.7,43.61,113.2,46.84
3.06,48.58,112.76,46.31
3.33,54.67,99.05,51.59
2.64,50.61,137.04,56.55
1.84,39.07,75.95,37.53
1.09,23.75,100.47,44.49
1.11,26.96,102.02,45.24
1.87,39.81,101.57,47.71
2.48,47.93,66.13,55.43
1.83,39.27,82.32,47.25
2.77,34,57.59,39.09
0.99,29.85,131.05,48.28
1.4,39.44,72.81,48.54
